year,adj,noun,period,category
1847,fragrant,havana,A,"Use of drugs, poison"
1848,fragrant,blossom,A,NA
1848,perfumed,medicament,A,Healing/cure
1848,perfumed,air,A,Gas
1848,perfumed,ether,A,Alchemy
1848,scented,herb,A,Healing/cure
1848,fragrant,shrub,A,Drink
1848,fragrant,air,A,Gas
1848,perfumed,smoke,A,Affect the senses
1848,fragrant,smoke,A,Affect the senses
1848,fragrant,fig,A,Particular plants
1848,perfumed,atmosphere,A,"Atmosphere, weather"
1848,fragrant,moss,A,Particular plants
1848,fragrant,cider,A,Drink
1848,perfumed,vapor,A,Gas
1848,fragrant,cloud,A,"Atmosphere, weather"
1848,fragrant,hay,A,Dancing
1848,fragrant,ceiling,A,Inhabited place
1848,fragrant,heart,A,Love
1848,fragrant,vine,A,Particular plants
1848,fragrant,blessing,A,Advantage
1848,fragrant,october,A,Drink
1848,fragrant,october,A,Drink
1848,fragrant,tobacco,A,Particular plants
1848,perfumed,oil,A,Food
1848,perfumed,light,A,Shine
1848,fragrant,wreath,A,Farming
1848,fragrant,wreath,A,Farming
1848,fragrant,sigh,A,The body
1848,fragrant,bloom,A,Part of plant
1848,fragrant,shower,A,Liquid
1848,fragrant,rose,A,Beauty
1848,fragrant,flower,A,Quality of being good
1849,fragrant,flower,A,Quality of being good
1849,perfumed,water,A,Cleanness/dirtiness
1849,perfumed,billet-doux,A,Love
1849,fragrant,breath,A,Source/principle of life
1849,fragrant,vapor,A,Gas
1849,fragrant,flow,A,Move along
1849,sweet-smelling,flower,A,Quality of being good
1849,fragrant,buckwheat-fields,A,NA
1849,fragrant,cloud,A,"Atmosphere, weather"
1849,perfumed,kerchief,A,Clothing
1849,scented,kerchief,A,Clothing
1849,fragrant,liquid,A,Liquid phase
1849,scented,soap,A,Cleanness/dirtiness
1849,fragrant,rain,A,Amount to a quantity
1849,fragrant,moss,A,Particular plants
1849,fragrant,ketaki,A,NA
1849,fragrant,white,A,Make white
1849,fragrant,bloom,A,Part of plant
1849,scented,tablet,A,Writing
1849,scented,ambergris,A,Mammals
1849,fragrant,whiff,A,Hear
1849,fragrant,mat,A,Navigation
1849,fragrant,thatch,A,Develop (a region) industrially
1849,fragrant,herb,A,Healing/cure
1849,fragrant,havanna,A,NA
1849,perfumed,hand,A,Speech
1849,fragrant,cigar,A,"Use of drugs, poison"
1849,fragrant,tassel,A,Sew/ornament textile fabric
1849,fragrant,breath,A,Source/principle of life
1849,fragrant,water-lily,A,Particular plants
1849,fragrant,azalea,A,Particular plants
1849,fragrant,gale,A,"Atmosphere, weather"
1849,perfumed,breeze,A,"Atmosphere, weather"
1849,perfumed,tree,A,Kinship/relationship
1850,fragrant,flower,B,Quality of being good
1850,fragrant,odour,B,Smell/odour
1850,fragrant,herb,B,Healing/cure
1850,scented,myrtle,B,Particular plants
1850,scented,noble,B,Social class
1850,fragrant,yarrow,B,Particular plants
1850,fragrant,bloom,B,Part of plant
1851,fragrant,chowder,B,Be food for
1851,scented,air,B,Gas
1851,fragrant,garland,B,Farming
1851,fragrant,blossom,B,NA
1851,fragrant,flower,B,Quality of being good
1851,fragrant,treasure,B,Wealth
1851,fragrant,valley,B,Land
1851,fragrant,atmosphere,B,"Atmosphere, weather"
1851,perfumed,tobacco,B,Particular plants
1851,fragrant,fold,B,Shape
1851,fragrant,division,B,Wholeness
1851,fragrant,mist,B,Liquid
1851,fragrant,breath,B,Source/principle of life
1851,scented,wood,B,Materials
1851,fragrant,thing,B,Person
1851,fragrant,water,B,Cleanness/dirtiness
1851,fragrant,sperm,B,Biology
1851,fragrant,spermaceti,B,Mammals
1851,fragrant,ambergris,B,Mammals
1852,fragrant,regalia,B,Legal right
1852,fragrant,moss,B,Particular plants
1852,fragrant,geranium,B,Particular plants
1852,fragrant,tea,B,Particular plants
1852,fragrant,blossom,B,NA
1852,fragrant,violet,B,Particular plants
1852,scented,cambric,B,Textiles
1852,scented,hair,B,Extension in space
1852,fragrant,breeze,B,"Atmosphere, weather"
1853,fragrant,wood,B,Materials
1853,perfumed,handkerchief,B,Clothing
1853,fragrant,coffee,B,Drink
1853,perfumed,lock,B,Water
1853,scented,violet,B,Particular plants
1853,perfumed,lamp,B,Light
1853,perfumed,garden,B,Farming
1853,fragrant,banana,B,Particular plants
1853,fragrant,bouquet,B,Farming
1853,fragrant,morning,B,Day and night
1853,fragrant,underwood,B,By growth/development
1853,perfumed,bath,B,Relative position
1853,perfumed,garment,B,Clothing
1853,fragrant,coffee,B,Drink
1853,fragrant,snow,B,Move in a certain direction
1853,fragrant,cigar,B,"Use of drugs, poison"
1854,perfumed,lock,B,Water
1854,fragrant,mocha,B,Materials
1854,scented,air,B,Gas
1854,fragrant,woodbine,B,Particular plants
1854,fragrant,flower,B,Quality of being good
1854,perfumed,head,B,Land
1854,fragrant,flower,B,Quality of being good
1854,fragrant,bowers,B,NA
1854,fragrant,cloud,B,"Atmosphere, weather"
1854,fragrant,fume,B,Be angry
1854,fragrant,leaf,B,Relative position
1854,fragrant,head,B,Land
