"corpus","user/st.schwarz/xriddle_23"
"subcorpus","-"
Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"zwölf",1,773187,521.37640,36.81913,13.812
"kriegen",1,777908,521.37640,37.04395,13.731
"hundert",1,780967,521.37640,37.18962,13.678
"star",1,801469,521.37640,38.16592,13.338
"soldat",1,811477,521.37640,38.64250,13.177
"voraus",1,819829,521.37640,39.04022,13.046
"wille",1,830373,521.37640,39.54233,12.885
"tot",1,843624,521.37640,40.17334,12.687
"wenigstens",1,847664,521.37640,40.36572,12.628
"london",1,862149,521.37640,41.05550,12.421
"vermögen",1,863959,521.37640,41.14169,12.396
"geraten",1,879305,521.37640,41.87247,12.184
"industrie",1,884156,521.37640,42.10347,12.119
"umgehen",1,885658,521.37640,42.17500,12.099
"schwester",1,886789,521.37640,42.22886,12.084
"füllen",1,888717,521.37640,42.32067,12.058
"italienisch",1,891893,521.37640,42.47191,12.016
"klassisch",2,1816756,1042.75281,86.51385,11.927
"gemütlich",1,902588,521.37640,42.98120,11.877
"kopf",3,2789818,1564.12927,132.85101,11.693
"erwachsene",1,929188,521.37640,44.24789,11.545
"schriftlich",1,936909,521.37640,44.61557,11.452
"existieren",1,947443,521.37640,45.11720,11.327
"gewinn",1,952832,521.37640,45.37382,11.264
"körperlich",1,970063,521.37640,46.19436,11.069
"theorie",1,970090,521.37640,46.19565,11.068
"prägen",1,980831,521.37640,46.70713,10.950
"trotzdem",3,2997002,1564.12927,142.71710,10.890
"ausland",1,988076,521.37640,47.05214,10.871
"phase",1,990732,521.37640,47.17862,10.842
"schätzen",1,993072,521.37640,47.29005,10.817
"landen",1,1014709,521.37640,48.32040,10.591
"meistens",1,1017061,521.37640,48.43240,10.567
"lange",4,4149098,2085.50562,197.57988,10.507
"behalten",1,1028617,521.37640,48.98270,10.451
"schwach",1,1035923,521.37640,49.33061,10.379
"jahrzehnt",1,1038265,521.37640,49.44214,10.356
"herbst",1,1049133,521.37640,49.95967,10.251
"gedanke",2,2128848,1042.75281,101.37566,10.195
"schloss",1,1065868,521.37640,50.75659,10.093
"literatur",1,1076400,521.37640,51.25813,9.996
"ding",3,3269370,1564.12927,155.68727,9.989
"darin",2,2199016,1042.75281,104.71706,9.873
"stuttgart",1,1100752,521.37640,52.41776,9.779
"erwerben",1,1106809,521.37640,52.70620,9.727
"arzt",2,2237543,1042.75281,106.55170,9.705
"brechen",1,1112896,521.37640,52.99606,9.674
"installieren",1,1122809,521.37640,53.46812,9.590
"ehe",1,1125332,521.37640,53.58826,9.569
"meer",1,1138311,521.37640,54.20633,9.462
"tod",2,2340291,1042.75281,111.44456,9.282
"vergleichen",1,1183778,521.37640,56.37146,9.105
"gar",5,6003881,2606.88208,285.90457,9.090
"genug",2,2412464,1042.75281,114.88144,9.007
"schiff",1,1197827,521.37640,57.04047,9.000
"nahe",1,1210045,521.37640,57.62230,8.911
"bald",2,2471313,1042.75281,117.68382,8.794
"sitzen",2,2481549,1042.75281,118.17126,8.758
"lehrer",1,1238460,521.37640,58.97541,8.710
"gebären",1,1248024,521.37640,59.43085,8.644
"sparen",1,1259440,521.37640,59.97448,8.567
"amerikanisch",1,1263472,521.37640,60.16648,8.540
"verantwortlich",1,1271833,521.37640,60.56464,8.485
"fähigkeit",1,1303833,521.37640,62.08847,8.280
"scheinen",3,3949649,1564.12927,188.08212,8.278
"lokal",1,1311946,521.37640,62.47482,8.230
"zugleich",1,1337690,521.37640,63.70074,8.074
"macht",1,1344863,521.37640,64.04232,8.031
"verdienen",1,1366886,521.37640,65.09106,7.904
"bildung",1,1370551,521.37640,65.26558,7.883
"achten",1,1376640,521.37640,65.55554,7.849
"wagen",1,1424113,521.37640,67.81620,7.591
"rücken",1,1429182,521.37640,68.05759,7.564
"kollege",1,1437858,521.37640,68.47074,7.519
"studium",1,1452795,521.37640,69.18204,7.443
"greifen",1,1474081,521.37640,70.19568,7.337
"umsetzen",1,1474335,521.37640,70.20777,7.336
"glauben",3,4492703,1564.12927,213.94234,7.282
"jedenfalls",1,1529488,521.37640,72.83415,7.075
"erfolg",2,3217913,1042.75281,153.23689,6.767
"garten",1,1610748,521.37640,76.70375,6.723
"ändern",2,3250838,1042.75281,154.80478,6.699
"erstmals",1,1627408,521.37640,77.49710,6.655
"übernehmen",2,3359447,1042.75281,159.97673,6.484
"tochter",1,1677746,521.37640,79.89420,6.458
"voraussetzung",1,1677984,521.37640,79.90553,6.457
"gefahr",1,1700038,521.37640,80.95574,6.374
"vorbei",1,1712509,521.37640,81.54961,6.328
"zahlen",1,1715841,521.37640,81.70827,6.316
"rechts",1,1725558,521.37640,82.17101,6.281
"national",1,1742985,521.37640,83.00087,6.219
"idee",2,3566429,1042.75281,169.83321,6.110
"danach",2,3576167,1042.75281,170.29692,6.093
"bleiben",6,10807583,3128.25854,514.65662,6.068
"lieber",1,1803062,521.37640,85.86173,6.014
