"","token","freq","target","unique","stopword"
"441","busting",2,"cl",1,0
"442","busy",6,"cl",1,0
"443","but",1206,"cl",0,0
"3781","but",262,"co",0,0
"444","button",8,"cl",1,0
"445","buttons",2,"cl",1,0
"446","buy",22,"cl",0,0
"3782","buy",1,"co",0,0
"447","buying",4,"cl",1,0
"448","buzzy",2,"cl",1,0
"449","by",102,"cl",0,0
"3783","by",7,"co",0,0
"450","bye",36,"cl",1,0
"451","c",34,"cl",0,0
"3784","c",8,"co",0,0
"452","C",6,"cl",0,0
"3785","C",3,"co",0,0
"453","ca",214,"cl",0,0
"3786","ca",20,"co",0,0
"454","cakes",2,"cl",1,0
"455","call",28,"cl",0,0
"3787","call",2,"co",0,0
"456","called",102,"cl",0,0
"3788","called",5,"co",0,0
"457","calling",8,"cl",1,0
"458","calm",2,"cl",1,0
"459","Camdy",4,"cl",1,0
"460","came",36,"cl",0,0
"3789","came",20,"co",0,0
"461","camera",54,"cl",1,0
"462","camping",4,"cl",1,0
"463","can",402,"cl",0,0
"3790","can",93,"co",0,0
"464","cancel",2,"cl",1,0
"465","cancer",4,"cl",1,0
"466","canes",2,"cl",1,0
"467","capture",4,"cl",1,0
"468","captured",2,"cl",1,0
"469","capturing",4,"cl",1,0
"470","car",10,"cl",1,0
"471","carcass",2,"cl",1,0
"472","card",4,"cl",1,0
"473","cardboard",4,"cl",1,0
"474","care",54,"cl",0,0
"3794","care",1,"co",0,0
"475","career",4,"cl",1,0
"476","careful",4,"cl",1,0
"477","carefully",2,"cl",1,0
"478","cares",20,"cl",1,0
"479","carp",4,"cl",1,0
"480","carpies",2,"cl",1,0
"481","carrot",2,"cl",1,0
"482","carry",4,"cl",0,0
"3795","carry",2,"co",0,0
"483","carrying",2,"cl",1,0
"484","cascading",2,"cl",1,0
"485","case",26,"cl",0,0
"3797","case",1,"co",0,0
"486","cash",4,"cl",1,0
"487","cast",4,"cl",1,0
"488","catch",28,"cl",1,0
"489","catching",4,"cl",1,0
"490","catchy",2,"cl",1,0
"491","cathartic",2,"cl",0,0
"3800","cathartic",1,"co",0,0
"492","caught",6,"cl",1,0
"493","cause",2,"cl",1,0
"494","caused",2,"cl",1,0
"495","ceiling",2,"cl",1,0
"496","cellist",2,"cl",1,0
"497","cello",18,"cl",1,0
"498","center",2,"cl",0,0
"3801","center",1,"co",0,0
"499","central",4,"cl",1,0
"500","centre",4,"cl",1,0
"501","cert",4,"cl",1,0
"502","certain",18,"cl",0,0
"3802","certain",23,"co",0,0
"503","certainly",2,"cl",0,0
"3803","certainly",4,"co",0,0
"504","certificates",4,"cl",1,0
"505","ch",6,"cl",0,0
"3804","ch",1,"co",0,0
"506","chair",2,"cl",1,0
"507","challenging",2,"cl",1,0
"508","chance",4,"cl",0,0
"3806","chance",2,"co",0,0
"509","chancely",2,"cl",1,0
"510","change",18,"cl",0,0
"3807","change",4,"co",0,0
