1_id	1_span	1_anno_tok:abbrev	1_anno_tok:gloss	1_anno_tok:mftb_lem	1_anno_tok:mftb_pos	1_anno_tok:pos	1_anno_tok:tt_lem	1_anno_tok:tt_pos	2_id	2_span	2_anno_tok:gloss	2_anno_tok:mftb_lem	2_anno_tok:mftb_pos
8583666	hesch	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8583668	oki	'NULL'	'NULL'	'NULL'
8584117	;)	'NULL'	;)	'NULL'	'NULL'	EMO	'NULL'	'NULL'	8584119	okee	'NULL'	'NULL'	'NULL'
8585145	?	'NULL'	?	'NULL'	'NULL'	PUN	'NULL'	'NULL'	8585147	oki	'NULL'	'NULL'	'NULL'
8585318	hahaha	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8585319	okidoki	'NULL'	'NULL'	'NULL'
8585614	:/	'NULL'	:/	'NULL'	'NULL'	EMO	'NULL'	'NULL'	8585616	okee	'NULL'	'NULL'	'NULL'
8585793	emojiQunamusedFace	'NULL'	emojiQunamusedFace	'NULL'	'NULL'	EMOJI	'NULL'	'NULL'	8585795	okee	'NULL'	'NULL'	'NULL'
8586231	*	'NULL'	*	'NULL'	'NULL'	PUN	'NULL'	'NULL'	8586233	okee	'NULL'	'NULL'	'NULL'
8586700	^^	'NULL'	^^	'NULL'	'NULL'	EMO	'NULL'	'NULL'	8586702	okee	'NULL'	'NULL'	'NULL'
8586987	ned	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8586989	okay	'NULL'	'NULL'	'NULL'
8587007	egaal	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8587009	oki	'NULL'	'NULL'	'NULL'
8587063	achso	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8587064	oke	'NULL'	'NULL'	'NULL'
8587490	ahaa	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8587491	oke	'NULL'	'NULL'	'NULL'
8588037	fötele	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8588039	okee	'NULL'	'NULL'	'NULL'
8588062	^^	'NULL'	^^	'NULL'	'NULL'	EMO	'NULL'	'NULL'	8588064	okee	'NULL'	'NULL'	'NULL'
8589052	emojiQsparklingHeart	'NULL'	emojiQsparklingHeart	'NULL'	'NULL'	EMOJI	'NULL'	'NULL'	8589054	oki	'NULL'	'NULL'	'NULL'
